date,description,amount,currency
2025-04-01,SALARY CREDIT ACME TECH,200000,INR
2025-04-03,INVESTMENT TRANSFER BROKER,-100000,INR
2025-04-05,RENT APRIL GREEN OAK APTS,-30000,INR
2025-04-08,BIGBASKET GROCERIES,-11850,INR
2025-04-10,ELECTRICITY WATER BILL,-4200,INR
2025-04-14,INDIANOIL FUEL,-5800,INR
2025-04-18,CAR LOAN EMI HDFC,-18000,INR
2025-04-22,CREDIT CARD PAYMENT HDFC,-9000,INR
2025-04-26,AMAZON DINING SHOPPING,-7200,INR
2025-05-01,SALARY CREDIT ACME TECH,200000,INR
2025-05-03,INVESTMENT TRANSFER BROKER,-100000,INR
2025-05-05,RENT MAY GREEN OAK APTS,-30000,INR
2025-05-08,DMART GROCERIES,-12100,INR
2025-05-10,ELECTRICITY WATER BILL,-4350,INR
2025-05-14,INDIANOIL FUEL,-6100,INR
2025-05-18,CAR LOAN EMI HDFC,-18000,INR
2025-05-22,CREDIT CARD PAYMENT HDFC,-9500,INR
2025-05-27,ZOMATO SHOPPING UPI,-6800,INR
2025-06-01,SALARY CREDIT ACME TECH,200000,INR
2025-06-03,INVESTMENT TRANSFER BROKER,-100000,INR
2025-06-05,RENT JUNE GREEN OAK APTS,-30000,INR
2025-06-08,BIGBASKET GROCERIES,-11300,INR
2025-06-10,ELECTRICITY WATER BILL,-3980,INR
2025-06-14,INDIANOIL FUEL,-5600,INR
2025-06-18,CAR LOAN EMI HDFC,-18000,INR
2025-06-22,CREDIT CARD PAYMENT HDFC,-8800,INR
2025-06-26,SWIGGY MOVIES SHOPPING,-6400,INR
2025-07-01,SALARY CREDIT ACME TECH,200000,INR
2025-07-03,INVESTMENT TRANSFER BROKER,-100000,INR
2025-07-05,RENT JULY GREEN OAK APTS,-30000,INR
2025-07-08,DMART GROCERIES,-12650,INR
2025-07-10,ELECTRICITY WATER BILL,-4600,INR
2025-07-12,TERM INSURANCE PREMIUM,-24000,INR
2025-07-14,INDIANOIL FUEL,-5900,INR
2025-07-18,CAR LOAN EMI HDFC,-18000,INR
2025-07-22,CREDIT CARD PAYMENT HDFC,-10200,INR
2025-07-27,SHOPPING DINING UPI,-7500,INR
2025-08-01,SALARY CREDIT ACME TECH,200000,INR
2025-08-03,INVESTMENT TRANSFER BROKER,-100000,INR
2025-08-05,RENT AUGUST GREEN OAK APTS,-30000,INR
2025-08-08,BIGBASKET GROCERIES,-11900,INR
2025-08-10,ELECTRICITY WATER BILL,-4100,INR
2025-08-14,INDIANOIL FUEL,-6200,INR
2025-08-18,CAR LOAN EMI HDFC,-18000,INR
2025-08-22,CREDIT CARD PAYMENT HDFC,-9300,INR
2025-08-27,AMAZON DINING SHOPPING,-7100,INR
2025-09-01,SALARY CREDIT ACME TECH,200000,INR
2025-09-03,INVESTMENT TRANSFER BROKER,-100000,INR
2025-09-05,RENT SEPTEMBER GREEN OAK APTS,-30000,INR
2025-09-08,DMART GROCERIES,-12350,INR
2025-09-10,ELECTRICITY WATER BILL,-4400,INR
2025-09-14,INDIANOIL FUEL,-5700,INR
2025-09-18,CAR LOAN EMI HDFC,-18000,INR
2025-09-22,CREDIT CARD PAYMENT HDFC,-9800,INR
2025-09-27,SHOPPING DINING UPI,-7600,INR
2025-10-01,SALARY CREDIT ACME TECH,200000,INR
2025-10-03,INVESTMENT TRANSFER BROKER,-100000,INR
2025-10-05,RENT OCTOBER GREEN OAK APTS,-30000,INR
2025-10-08,BIGBASKET GROCERIES,-11700,INR
2025-10-10,ELECTRICITY WATER BILL,-4050,INR
2025-10-14,INDIANOIL FUEL,-5500,INR
2025-10-18,CAR LOAN EMI HDFC,-18000,INR
2025-10-22,CREDIT CARD PAYMENT HDFC,-9100,INR
2025-10-24,FESTIVE SHOPPING,-15000,INR
2025-10-28,ANNUAL BONUS ACME TECH,150000,INR
2025-11-01,SALARY CREDIT ACME TECH,200000,INR
2025-11-03,INVESTMENT TRANSFER BROKER,-100000,INR
2025-11-05,RENT NOVEMBER GREEN OAK APTS,-30000,INR
2025-11-08,DMART GROCERIES,-12800,INR
2025-11-10,ELECTRICITY WATER BILL,-4700,INR
2025-11-14,INDIANOIL FUEL,-6300,INR
2025-11-18,CAR LOAN EMI HDFC,-18000,INR
2025-11-22,CREDIT CARD PAYMENT HDFC,-11000,INR
2025-11-27,SHOPPING DINING UPI,-8200,INR
2025-12-01,SALARY CREDIT ACME TECH,200000,INR
2025-12-03,INVESTMENT TRANSFER BROKER,-100000,INR
2025-12-05,RENT DECEMBER GREEN OAK APTS,-30000,INR
2025-12-08,BIGBASKET GROCERIES,-13100,INR
2025-12-10,ELECTRICITY WATER BILL,-4950,INR
2025-12-14,INDIANOIL FUEL,-6100,INR
2025-12-18,CAR LOAN EMI HDFC,-18000,INR
2025-12-22,DOMESTIC TRAVEL BOOKING,-28000,INR
2025-12-24,CREDIT CARD PAYMENT HDFC,-12000,INR
2025-12-28,SHOPPING DINING UPI,-9000,INR
2026-01-01,SALARY CREDIT ACME TECH,200000,INR
2026-01-03,INVESTMENT TRANSFER BROKER,-100000,INR
2026-01-05,RENT JANUARY GREEN OAK APTS,-30000,INR
2026-01-08,DMART GROCERIES,-12250,INR
2026-01-10,ELECTRICITY WATER BILL,-4300,INR
2026-01-14,INDIANOIL FUEL,-5600,INR
2026-01-18,CAR LOAN EMI HDFC,-18000,INR
2026-01-22,CREDIT CARD PAYMENT HDFC,-9400,INR
2026-01-27,AMAZON DINING SHOPPING,-6900,INR
2026-02-01,SALARY CREDIT ACME TECH,200000,INR
2026-02-03,INVESTMENT TRANSFER BROKER,-100000,INR
2026-02-05,RENT FEBRUARY GREEN OAK APTS,-30000,INR
2026-02-08,BIGBASKET GROCERIES,-11600,INR
2026-02-10,ELECTRICITY WATER BILL,-4000,INR
2026-02-14,INDIANOIL FUEL,-5400,INR
2026-02-18,CAR LOAN EMI HDFC,-18000,INR
2026-02-22,CREDIT CARD PAYMENT HDFC,-8700,INR
2026-02-27,SHOPPING DINING UPI,-6300,INR
2026-03-01,SALARY CREDIT ACME TECH,200000,INR
2026-03-03,INVESTMENT TRANSFER BROKER,-100000,INR
2026-03-05,RENT MARCH GREEN OAK APTS,-30000,INR
2026-03-08,DMART GROCERIES,-12400,INR
2026-03-10,ELECTRICITY WATER BILL,-4450,INR
2026-03-14,INDIANOIL FUEL,-5900,INR
2026-03-18,CAR LOAN EMI HDFC,-18000,INR
2026-03-20,TAX REFUND,30000,INR
2026-03-22,CREDIT CARD PAYMENT HDFC,-9200,INR
2026-03-27,SHOPPING DINING UPI,-7100,INR
